"","X","date","time","pop","eggs","date_time","pop_type","date_time_pop"
"188",148,"2022-02-10","daytime","rap3",21,"2022-02-10_pm","anc","2022-02-10_pm_rap3"
"189",149,"2022-02-10","daytime","rap4",48,"2022-02-10_pm","anc","2022-02-10_pm_rap4"
"190",150,"2022-02-10","daytime","rap5",43,"2022-02-10_pm","anc","2022-02-10_pm_rap5"
"191",1081,"2022-02-10","overnight","evo1",106,"2022-02-10_am","evo","2022-02-10_am_evo1"
"192",1082,"2022-02-10","overnight","evo2",121,"2022-02-10_am","evo","2022-02-10_am_evo2"
"193",1083,"2022-02-10","overnight","evo3",73,"2022-02-10_am","evo","2022-02-10_am_evo3"
"194",1084,"2022-02-10","overnight","evo4",179,"2022-02-10_am","evo","2022-02-10_am_evo4"
"195",1085,"2022-02-10","overnight","evo5",124,"2022-02-10_am","evo","2022-02-10_am_evo5"
"196",1086,"2022-02-10","overnight","rap1",216,"2022-02-10_am","anc","2022-02-10_am_rap1"
"197",1087,"2022-02-10","overnight","rap2",145,"2022-02-10_am","anc","2022-02-10_am_rap2"
"198",1088,"2022-02-10","overnight","rap3",149,"2022-02-10_am","anc","2022-02-10_am_rap3"
"199",1089,"2022-02-10","overnight","rap4",177,"2022-02-10_am","anc","2022-02-10_am_rap4"
"200",1090,"2022-02-10","overnight","rap5",134,"2022-02-10_am","anc","2022-02-10_am_rap5"
"201",151,"2022-02-11","daytime","evo1",142,"2022-02-11_pm","evo","2022-02-11_pm_evo1"
"202",152,"2022-02-11","daytime","evo2",80,"2022-02-11_pm","evo","2022-02-11_pm_evo2"
"203",153,"2022-02-11","daytime","evo3",75,"2022-02-11_pm","evo","2022-02-11_pm_evo3"
"204",154,"2022-02-11","daytime","evo4",59,"2022-02-11_pm","evo","2022-02-11_pm_evo4"
"205",155,"2022-02-11","daytime","evo5",66,"2022-02-11_pm","evo","2022-02-11_pm_evo5"
"206",156,"2022-02-11","daytime","rap1",40,"2022-02-11_pm","anc","2022-02-11_pm_rap1"
"207",157,"2022-02-11","daytime","rap2",37,"2022-02-11_pm","anc","2022-02-11_pm_rap2"
"208",158,"2022-02-11","daytime","rap3",14,"2022-02-11_pm","anc","2022-02-11_pm_rap3"
"209",159,"2022-02-11","daytime","rap4",18,"2022-02-11_pm","anc","2022-02-11_pm_rap4"
"210",160,"2022-02-11","daytime","rap5",18,"2022-02-11_pm","anc","2022-02-11_pm_rap5"
"211",1091,"2022-02-11","overnight","evo1",107,"2022-02-11_am","evo","2022-02-11_am_evo1"
"212",1092,"2022-02-11","overnight","evo2",121,"2022-02-11_am","evo","2022-02-11_am_evo2"
"213",1093,"2022-02-11","overnight","evo3",68,"2022-02-11_am","evo","2022-02-11_am_evo3"
"214",1094,"2022-02-11","overnight","evo4",117,"2022-02-11_am","evo","2022-02-11_am_evo4"
"215",1095,"2022-02-11","overnight","evo5",82,"2022-02-11_am","evo","2022-02-11_am_evo5"
"216",1096,"2022-02-11","overnight","rap1",151,"2022-02-11_am","anc","2022-02-11_am_rap1"
"217",1097,"2022-02-11","overnight","rap2",149,"2022-02-11_am","anc","2022-02-11_am_rap2"
